"index","d__Bacteria;p__Armatimonadota","d__Bacteria;p__Firmicutes","d__Bacteria;p__Proteobacteria","d__Bacteria;p__Planctomycetota","d__Bacteria;p__Actinobacteriota","d__Bacteria;p__Bacteroidota","Unassigned;__","d__Bacteria;p__Patescibacteria","d__Bacteria;p__Bdellovibrionota","d__Bacteria;p__Acidobacteriota","d__Bacteria;p__Gemmatimonadota","d__Bacteria;p__Verrucomicrobiota","d__Bacteria;p__Cyanobacteria","d__Bacteria;__","d__Bacteria;p__Myxococcota","d__Bacteria;p__Desulfobacterota","d__Bacteria;p__Deferribacterota","d__Bacteria;p__Chloroflexi","d__Bacteria;p__Margulisbacteria","d__Bacteria;p__Synergistota","d__Bacteria;p__Campilobacterota","d__Bacteria;p__Dependentiae","d__Bacteria;p__uncultured","d__Bacteria;p__Deinococcota","d__Bacteria;p__Fusobacteriota","d__Bacteria;p__Halanaerobiaeota","d__Bacteria;p__Methylomirabilota","d__Bacteria;p__Nitrospirota","d__Bacteria;p__Abditibacteriota","d__Bacteria;p__Caldatribacteriota","d__Bacteria;p__Latescibacterota","d__Bacteria;p__Rs-K70_termite_group","d__Bacteria;p__Elusimicrobiota","d__Bacteria;p__Thermotogota","d__Bacteria;p__Spirochaetota","d__Bacteria;p__WPS-2","d__Bacteria;p__Cloacimonadota","d__Bacteria;p__Fibrobacterota","d__Bacteria;p__RCP2-54","bio_or_control","category_broad","category_specific","bird_id","bird_sex","bird_age","capture_date","num_mites_fm","num_mites_m","mite_sp_fm","mite_sp_m"
"PM17",0,1160,9985,2663,1350,3616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Rebound","Male","SY","5/12/21",63,63,"Amerodectes","Amerodectes"
"PF17",21,300,9210,108,848,6018,0,0,21,265,54,273,16,119,213,74,0,150,0,0,0,35,0,0,0,0,21,0,24,0,0,0,0,0,0,32,0,0,25,"biological","feather","feather","Rebound","Male","SY","5/12/21",63,"na","Amerodectes","na"
"PM18",0,255,12370,0,276,969,0,79,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Desmond","Male","ASY","5/12/21",79,79,"Amerodectes","Amerodectes"
"PF18",0,60,2198,3,105,251,0,0,0,4,0,256,47,27,29,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Desmond","Male","ASY","5/12/21",79,"na","Amerodectes","na"
"PM19",0,53,168,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","DB","Male","U","5/12/21",6,6,"Amerodectes","Amerodectes"
"PF19",4,12,56,0,12,22,0,5,0,8,0,8,0,5,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","DB","Male","U","5/12/21",6,"na","Amerodectes","na"
"PF20",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","CB","Female","SY","5/12/21",37,"na","Amerodectes","na"
"PM21",0,2775,11364,18,549,1605,150,137,0,69,0,0,12,0,0,342,0,49,0,305,275,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Maren","Female","ASY","5/13/21",44,44,"Amerodectes and Proctophyllodes","Amerodectes and Proctophyllodes"
"PF21",0,434,7120,193,2111,1058,0,18,75,176,0,26,0,47,36,0,0,194,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,"biological","feather","feather","Maren","Female","ASY","5/13/21",44,"na","Amerodectes and Proctophyllodes","na"
"PM22",0,1592,11688,45,115,708,0,235,0,1068,36,0,0,709,0,454,0,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Rosanne","Female","SY","5/13/21",1,1,"Proctophyllodes","Proctophyllodes"
