sample-id	absolute-filepath	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date	num_mites_fm	num_mites_m	mite_sp_fm	mite_sp_m
PM07	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix013-PM07_S36/Alix013-PM07_S36_L001_R1_001.fastq.gz	biological	mites	mites	Loretta	Female	SY	05/05/21	15	15	Amerodectes	Amerodectes
PF07	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix014-PF07_S37/Alix014-PF07_S37_L001_R1_001.fastq.gz	biological	feather	feather	Loretta	Female	SY	05/05/21	15	na	Amerodectes	na
WASH01	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix015-WASH01_S38/Alix015-WASH01_S38_L001_R1_001.fastq.gz	control	control	wash_control	wash_control	na	na	na	na	na	na	na
WASH03	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix016-WASH03_S39/Alix016-WASH03_S39_L001_R1_001.fastq.gz	control	control	wash_control	wash_control	na	na	na	na	na	na	na
KITA01	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix017-KITA01_S40/Alix017-KITA01_S40_L001_R1_001.fastq.gz	control	control	kit_control	kit_control	na	na	na	na	na	na	na
AKC01	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix018-AKC01_S41/Alix018-AKC01_S41_L001_R1_001.fastq.gz	control	control	area_control	area_control	na	na	na	na	na	na	na
PM08	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix019-PM08_S42/Alix019-PM08_S42_L001_R1_001.fastq.gz	biological	mites	mites	Cash	Male	ASY	05/05/21	43	43	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF08	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix020-PF08_S43/Alix020-PF08_S43_L001_R1_001.fastq.gz	biological	feather	feather	Cash	Male	ASY	05/06/21	43	na	Amerodectes and Proctophyllodes	na
PM09	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix021-PM09_S44/Alix021-PM09_S44_L001_R1_001.fastq.gz	biological	mites	mites	Mary Girl	Female	ASY	05/06/21	8	8	Amerodectes	Amerodectes
PF09	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix022-PF09_S45/Alix022-PF09_S45_L001_R1_001.fastq.gz	biological	feather	feather	Mary Girl	Female	ASY	05/06/21	8	na	Amerodectes	na
