,"ASV","mean.vs","sd.vs","n.vs","se.vs","lower.ci.vs","upper.ci.vs","electivity_category"
"414","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Deconica",-1,"NA",20,"NA","NA","NA","against"
"415","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Kuehneromyces",-1,0,20,0,-1,-1,"against"
"416","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Tubaria",-1,"NA",20,"NA","NA","NA","against"
"417","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.g__Calyptella",-1,"NA",20,"NA","NA","NA","against"
"418","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.g__Panellus",-1,"NA",20,"NA","NA","NA","against"
"419","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.g__Resupinatus",-1,0,20,0,-1,-1,"against"
"420","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.g__Tricholoma",-1,"NA",20,"NA","NA","NA","against"
"421","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricomycetes_ord_Incertae_sedis.f__Agaricomycetes_fam_Incertae_sedis.g__Dendrothele",-1,"NA",20,"NA","NA","NA","against"
"422","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricomycetes_ord_Incertae_sedis.f__Agaricomycetes_fam_Incertae_sedis.g__Xenasmatella",-1,"NA",20,"NA","NA","NA","against"
"423","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Atheliales.f__Atheliaceae.g__Athelia",-1,0,20,0,-1,-1,"against"
"424","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Atheliales.f__Atheliaceae.g__Fibulomyces","NA","NA",20,"NA","NA","NA","against"
"425","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Auriculariales.f__Auriculariaceae.g__Auricularia",-1,0,20,0,-1,-1,"against"
"426","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Auriculariales.f__Exidiaceae.g__Basidiodendron",-1,0,20,0,-1,-1,"against"
"427","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Auriculariales.f__Exidiaceae.g__Exidiopsis",-1,"NA",20,"NA","NA","NA","against"
"428","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Botryobasidiaceae.g__Botryobasidium",-1,0,20,0,-1,-1,"against"
"429","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Hydnaceae.g__Burgoa",-1,"NA",20,"NA","NA","NA","against"
"430","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Hydnaceae.g__Sistotrema",-1,0,20,0,-1,-1,"against"
"431","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Corticiales.f__Corticiaceae.g__Laetisaria",-1,"NA",20,"NA","NA","NA","against"
"432","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Corticiales.f__Corticiaceae.g__Limonomyces",-1,0,20,0,-1,-1,"against"
"433","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Corticiales.f__Punctulariaceae.g__Punctularia",-1,"NA",20,"NA","NA","NA","against"
"434","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Corticiales.f__Vuilleminiaceae.g__Vuilleminia","NA","NA",20,"NA","NA","NA","against"
"435","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Gloeophyllales.f__Gloeophyllaceae.g__Gloeophyllum",-1,"NA",20,"NA","NA","NA","against"
"436","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Gloeophyllales.f__Gloeophyllaceae.g__Heliocybe",-1,"NA",20,"NA","NA","NA","against"
"437","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetaceae.g__Fomitiporia",-1,"NA",20,"NA","NA","NA","against"
"438","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetaceae.g__Fulvifomes",-1,"NA",20,"NA","NA","NA","against"
"439","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetaceae.g__Fuscoporia",-0.827039465239117,0.573645197341072,20,0.128270965622092,-1.09551368176834,-0.558565248709898,"against"
"440","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetaceae.g__Hydnoporia",-0.669786814260794,0.808853811399941,20,0.180865210615006,-1.04834205068363,-0.291231577837961,"against"
"441","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetaceae.g__Hymenochaete",-1,0,20,0,-1,-1,"against"
"442","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetaceae.g__Inonotus",-1,0,20,0,-1,-1,"against"
"443","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetaceae.g__Phellinus",-1,"NA",20,"NA","NA","NA","against"
"444","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetaceae.g__Tropicoporus",-1,"NA",20,"NA","NA","NA","against"
"445","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetales_fam_Incertae_sedis.g__Trichaptum",-1,0,20,0,-1,-1,"against"
"446","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hyphodontiaceae.g__Kneiffiella",-1,"NA",20,"NA","NA","NA","against"
"447","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Rickenellaceae.g__Peniophorella",-1,0,20,0,-1,-1,"against"
"448","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Rickenellaceae.g__Resinicium",-1,"NA",20,"NA","NA","NA","against"
"449","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Schizoporaceae.g__Hyphodontia",-1,"NA",20,"NA","NA","NA","against"
"450","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Schizoporaceae.g__Xylodon",-1,0,20,0,-1,-1,"against"
"451","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Cerrenaceae.g__Cerrena",-1,"NA",20,"NA","NA","NA","against"
"452","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Fomitopsidaceae.g__Cinereomyces",-1,0,20,0,-1,-1,"against"
"453","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Fomitopsidaceae.g__Fomitopsis",-1,0,20,0,-1,-1,"against"
"454","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Ganodermataceae.g__Ganoderma",-1,"NA",20,"NA","NA","NA","against"
"455","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Hyphodermataceae.g__Hyphoderma",-1,"NA",20,"NA","NA","NA","against"
"456","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Incrustoporiaceae.g__Skeletocutis",-1,"NA",20,"NA","NA","NA","against"
"457","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Irpicaceae.g__Ceriporia","NA","NA",20,"NA","NA","NA","against"
"458","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Irpicaceae.g__Efibula",-1,"NA",20,"NA","NA","NA","against"
"459","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Irpicaceae.g__Flavodon",-1,"NA",20,"NA","NA","NA","against"
"460","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Irpicaceae.g__Gloeoporus",-1,"NA",20,"NA","NA","NA","against"
"461","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Irpicaceae.g__Irpex",-1,0,20,0,-1,-1,"against"
"462","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Irpicaceae.g__Trametopsis",-1,0,20,0,-1,-1,"against"
"463","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Ischnodermataceae.g__Ischnoderma","NA","NA",20,"NA","NA","NA","against"
"464","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Meripilaceae.g__Rigidoporus",-1,0,20,0,-1,-1,"against"
"465","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Meruliaceae.g__Crustodontia",-1,0,20,0,-1,-1,"against"
"466","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Meruliaceae.g__Mycoacia",-1,0,20,0,-1,-1,"against"
"467","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Meruliaceae.g__Mycoaciella",-1,0,20,0,-1,-1,"against"
"468","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Meruliaceae.g__Phlebia",-1,0,20,0,-1,-1,"against"
"469","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Meruliaceae.g__Scopuloides",-1,0,20,0,-1,-1,"against"
"470","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Panaceae.g__Panus",-1,"NA",20,"NA","NA","NA","against"
"471","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Phanerochaetaceae.g__Bjerkandera",-0.752097205740687,0.701174987583416,20,0.156787493635909,-1.08025720135103,-0.423937210130339,"against"
"472","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Phanerochaetaceae.g__Hyphodermella",-1,"NA",20,"NA","NA","NA","against"
"473","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Phanerochaetaceae.g__Phanerochaete","NA","NA",20,"NA","NA","NA","against"
"474","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Phanerochaetaceae.g__Phlebiopsis",-1,0,20,0,-1,-1,"against"
"475","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Coriolopsis",-1,"NA",20,"NA","NA","NA","against"
"476","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Dentocorticium",-1,"NA",20,"NA","NA","NA","against"
"477","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Favolus",-1,"NA",20,"NA","NA","NA","against"
"478","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Fomes",-1,0,20,0,-1,-1,"against"
"479","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Lentinus",-1,"NA",20,"NA","NA","NA","against"
"480","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Lopharia",-1,"NA",20,"NA","NA","NA","against"
"481","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Neofavolus",-1,0,20,0,-1,-1,"against"
"482","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Perenniporia",-1,0,20,0,-1,-1,"against"
"483","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Rhodonia",-1,"NA",20,"NA","NA","NA","against"
"484","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Polyporaceae.g__Trametes",-0.819984754499409,0.597043025869174,20,0.133502879133564,-1.09940949185872,-0.540560017140094,"against"
"485","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Steccherinaceae.g__Ceriporiopsis",-1,"NA",20,"NA","NA","NA","against"
"486","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Steccherinaceae.g__Steccherinum",-1,0,20,0,-1,-1,"against"
"487","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales.f__Bondarzewiaceae.g__Heterobasidion",-1,"NA",20,"NA","NA","NA","against"
"488","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales.f__Lachnocladiaceae.g__Dichostereum",-1,"NA",20,"NA","NA","NA","against"
"489","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales.f__Peniophoraceae.g__Peniophora",-0.835666990860317,0.569266242381225,20,0.127291801526029,-1.10209179338326,-0.56924218833737,"against"
"490","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales.f__Russulaceae.g__Russula",-1,"NA",20,"NA","NA","NA","against"
"491","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales.f__Stereaceae.g__Aleurodiscus",-1,0,20,0,-1,-1,"against"
"492","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales.f__Stereaceae.g__Conferticium",-1,0,20,0,-1,-1,"against"
"493","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales.f__Stereaceae.g__Stereum",-0.88776862699903,0.462741805391095,20,0.103472213288547,-1.10433845837483,-0.671198795623234,"against"
"494","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Russulales.f__Stereaceae.g__Xylobolus",-1,0,20,0,-1,-1,"against"
"495","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Sebacinales.f__Sebacinaceae.g__Chaetospermum",-1,0,20,0,-1,-1,"against"
"496","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Subulicystidium",-1,0,20,0,-1,-1,"against"
"497","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora",-0.04716003120031,1.34751920664768,20,0.30131445470508,-0.677818432838964,0.583498370438345,"neutral"
"498","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Trechisporales_fam_Incertae_sedis.g__Sistotremastrum",-1,0,20,0,-1,-1,"against"
"499","k__Fungi.p__Basidiomycota.c__Cystobasidiomycetes.o__Cystobasidiales.f__Cystobasidiaceae.g__Cystobasidium",-0.530500099546015,0.813197681734833,20,0.181836529550432,-0.911088329865197,-0.149911869226832,"against"
"500","k__Fungi.p__Basidiomycota.c__Cystobasidiomycetes.o__Cystobasidiomycetes_ord_Incertae_sedis.f__Symmetrosporaceae.g__Symmetrospora",-1,0,20,0,-1,-1,"against"
"501","k__Fungi.p__Basidiomycota.c__Cystobasidiomycetes.o__Erythrobasidiales.f__Erythrobasidiaceae.g__Bannoa",-1,"NA",20,"NA","NA","NA","against"
"502","k__Fungi.p__Basidiomycota.c__Cystobasidiomycetes.o__Erythrobasidiales.f__Erythrobasidiaceae.g__Erythrobasidium",-1,0,20,0,-1,-1,"against"
"503","k__Fungi.p__Basidiomycota.c__Exobasidiomycetes.o__Exobasidiales.f__Brachybasidiaceae.g__Meira",-1,0,20,0,-1,-1,"against"
"504","k__Fungi.p__Basidiomycota.c__Exobasidiomycetes.o__Exobasidiales.f__Cryptobasidiaceae.g__Acaromyces",-1,"NA",20,"NA","NA","NA","against"
"505","k__Fungi.p__Basidiomycota.c__Exobasidiomycetes.o__Exobasidiales.f__Exobasidiaceae.g__Exobasidium",-1,"NA",20,"NA","NA","NA","against"
"506","k__Fungi.p__Basidiomycota.c__Geminibasidiomycetes.o__Geminibasidiales.f__Geminibasidiaceae.g__Geminibasidium",-1,"NA",20,"NA","NA","NA","against"
"507","k__Fungi.p__Basidiomycota.c__Malasseziomycetes.o__Malasseziales.f__Malasseziaceae.g__Malassezia",-1,"NA",20,"NA","NA","NA","against"
"508","k__Fungi.p__Basidiomycota.c__Microbotryomycetes.o__Leucosporidiales.f__Leucosporidiaceae.g__Leucosporidium","NA","NA",20,"NA","NA","NA","against"
"509","k__Fungi.p__Basidiomycota.c__Microbotryomycetes.o__Microbotryomycetes_ord_Incertae_sedis.f__Microbotryomycetes_fam_Incertae_sedis.g__Curvibasidium",-1,0,20,0,-1,-1,"against"
"510","k__Fungi.p__Basidiomycota.c__Microbotryomycetes.o__Sporidiobolales.f__Sporidiobolaceae.g__Rhodosporidiobolus",-1,"NA",20,"NA","NA","NA","against"
"511","k__Fungi.p__Basidiomycota.c__Pucciniomycetes.o__Septobasidiales.f__Septobasidiaceae.g__Septobasidium",-1,0,20,0,-1,-1,"against"
"512","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Cystofilobasidiales.f__Mrakiaceae.g__Itersonilia",-1,"NA",20,"NA","NA","NA","against"
"513","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Cystofilobasidiales.f__Mrakiaceae.g__Tausonia","NA","NA",20,"NA","NA","NA","against"
"514","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Cystofilobasidiales.f__Mrakiaceae.g__Udeniomyces",-1,"NA",20,"NA","NA","NA","against"
"515","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Filobasidiales.f__Filobasidiaceae.g__Filobasidium",-0.50243629024307,0.99512741951386,20,0.222517255630694,-0.968170258799036,-0.036702321687104,"against"
"516","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Filobasidiales.f__Filobasidiaceae.g__Naganishia",0.517952301058816,0.866092214039598,20,0.193664106537584,0.112608667600159,0.923295934517472,"for"
"517","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Filobasidiales.f__Piskurozymaceae.g__Solicoccozyma",-1,"NA",20,"NA","NA","NA","against"
"518","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Bulleraceae.g__Bullera",-1,"NA",20,"NA","NA","NA","against"
"519","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Bulleraceae.g__Fonsecazyma",-1,0,20,0,-1,-1,"against"
"520","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Bulleraceae.g__Genolevuria",-1,"NA",20,"NA","NA","NA","against"
"521","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Bulleribasidiaceae.g__Dioszegia",-1,"NA",20,"NA","NA","NA","against"
"522","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Bulleribasidiaceae.g__Hannaella",-1,"NA",20,"NA","NA","NA","against"
"523","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Bulleribasidiaceae.g__Vishniacozyma",-1,0,20,0,-1,-1,"against"
"524","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Cryptococcaceae.g__Kwoniella",-1,"NA",20,"NA","NA","NA","against"
"525","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Cryptococcaceae.g__Teunia",-1,0,20,0,-1,-1,"against"
"526","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Cuniculitremaceae.g__Fellomyces",-1,"NA",20,"NA","NA","NA","against"
"527","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Cuniculitremaceae.g__Kockovaella",-1,0,20,0,-1,-1,"against"
"528","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Rhynchogastremataceae.g__Papiliotrema",-1,0,20,0,-1,-1,"against"
"529","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Tremellaceae.g__Tremella",-1,0,20,0,-1,-1,"against"
"530","k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.g__Cutaneotrichosporon",-1,"NA",20,"NA","NA","NA","against"
"531","k__Fungi.p__Basidiomycota.c__Ustilaginomycetes.o__Ustilaginales.f__Ustilaginaceae.g__Moesziomyces",-1,"NA",20,"NA","NA","NA","against"
"532","k__Fungi.p__Basidiomycota.c__Ustilaginomycetes.o__Ustilaginales.f__Ustilaginaceae.g__Pseudozyma",-1,"NA",20,"NA","NA","NA","against"
"533","k__Fungi.p__Chytridiomycota.c__Chytridiomycetes.o__Chytridiales.f__Chytriomycetaceae.g__Chytriomyces",-1,"NA",20,"NA","NA","NA","against"
"534","k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Podila",-1,"NA",20,"NA","NA","NA","against"
"535","k__Fungi.p__Mucoromycota.c__Umbelopsidomycetes.o__Umbelopsidales.f__Umbelopsidaceae.g__Umbelopsis","NA","NA",20,"NA","NA","NA","against"
