,"ASV","mean.vs","sd.vs","n.vs","se.vs","lower.ci.vs","upper.ci.vs","electivity_category"
"139","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporaceae.g__Dendryphiella",-1,0,20,0,-1,-1,"against"
"140","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporaceae.g__Stemphylium","NA","NA",20,"NA","NA","NA","against"
"141","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.g__Camarosporomyces",-1,"NA",20,"NA","NA","NA","against"
"142","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.g__Neohendersonia",-1,"NA",20,"NA","NA","NA","against"
"143","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.g__Neooccultibambusa",-1,"NA",20,"NA","NA","NA","against"
"144","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.g__Pleiochaeta",-1,0,20,0,-1,-1,"against"
"145","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.g__Pseudochaetosphaeronema",-1,0,20,0,-1,-1,"against"
"146","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.g__Pseudopassalora",-1,0,20,0,-1,-1,"against"
"147","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.g__Pseudorobillarda",-1,"NA",20,"NA","NA","NA","against"
"148","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Roussoellaceae.g__Neoroussoella",-0.362490085324569,0.893974915281287,20,0.199898868074857,-0.780883224654239,0.0559030540051,"neutral"
"149","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Roussoellaceae.g__Roussoella",-0.602415896156868,0.889025082966578,20,0.198792051921566,-1.01849244265389,-0.186339349659845,"against"
"150","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Roussoellaceae.g__Setoarthopyrenia",-1,0,20,0,-1,-1,"against"
"151","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Roussoellaceae.g__Xenoroussoella",-0.875991262200522,0.469748538447441,20,0.105038966429965,-1.09584034558863,-0.656142178812418,"against"
"152","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Sporormiaceae.g__Preussia","NA","NA",20,"NA","NA","NA","against"
"153","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Sporormiaceae.g__Westerdykella","NA","NA",20,"NA","NA","NA","against"
"154","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Sulcatisporaceae.g__Anthosulcatispora",-1,"NA",20,"NA","NA","NA","against"
"155","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Sulcatisporaceae.g__Loculosulcatispora",-1,0,20,0,-1,-1,"against"
